IdPedido,CodPieza,Lote,FechaPedido,FechaEntrega
468,P01,41,01/02/2000 11:33:12,01/03/2000 07:40:40
469,P02,26,01/02/2000 10:20:22,01/04/2000 14:52:03
470,P03,13,01/02/2000 08:13:03,01/02/2000 21:21:25
471,P04,40,01/02/2000 08:11:37,01/03/2000 03:57:26
472,P05,75,01/02/2000 12:13:36,01/03/2000 14:13:31
473,P06,46,01/02/2000 08:39:50,01/04/2000 11:40:41
474,P07,72,01/02/2000 12:53:50,01/03/2000 23:05:04
475,P08,35,01/02/2000 14:25:26,01/04/2000 12:01:09
476,P09,33,01/02/2000 08:56:13,01/04/2000 11:35:23
477,P10,17,01/02/2000 08:47:29,01/04/2000 04:47:50
478,P11,20,01/02/2000 13:51:10,01/04/2000 10:48:19
479,P12,46,01/02/2000 09:27:16,01/03/2000 17:37:23
480,P13,81,01/02/2000 12:23:41,01/03/2000 12:27:30
481,P14,41,01/02/2000 11:50:50,01/04/2000 08:38:45
482,P15,39,01/02/2000 13:30:55,01/03/2000 13:43:50
483,P16,74,01/02/2000 12:21:15,01/04/2000 04:08:34
484,P17,15,01/02/2000 10:28:43,01/04/2000 00:56:15
485,P18,24,01/02/2000 11:55:49,01/04/2000 10:02:38
486,P19,99,01/02/2000 13:53:25,01/04/2000 23:53:09
487,P20,32,01/02/2000 12:09:41,01/04/2000 03:42:14
